A  a
RÉTICENCES  r e t i s a~ s
RÉTRACTATION  r e t r a k t a s j o~
RÉTRACTE  r e t r a k t q
RÉTRACTE  r e t r a k t
RÉTRACTER  r e t r a k t e
RÉTROSPECTIF  r e t r o^ s p e^ k t i f
RÉUNIES  r e y n i
RÉUNIR  r e y n i r
RÉUNISSAIT  r e y n i s e^
RÉUNISSANT  r e y n i s a~ t
RÉUNIT  r e y n i
RÉUSSIR  r e y s i r
RÉUSSIRENT  r e y s i r
RÉUSSIS  r e y s i
RÉUSSISSAIT  r e y s i s e^
RÉUSSISSEZ  r e y s i s e
RÉUSSISSONS  r e y s i s o~
RÉUSSIT  r e y s i
RÉUSSITE  r e y s i t
RÉVEIL  r e v e^ j
RÉVEIL  r e v e^ j q
RÉVEILLA  r e v e^ j a
RÉVEILLAIS  r e v e^ j e^ z
RÉVEILLAIT  r e v e^ j e^ t
RÉVEILLAIT  r e v e^ j e^
RÉVEILLANT  r e v e^ j a~
RÉVEILLE  r e v e^ j
RÉVEILLERAIT  r e v e j r e^
RÉVEILLÈRENT  r e v e^ j e^ r
RÉVEILLÉ  r e v e j e
RÉVEILLÉE  r e v e j e
RÉVEILLÉS  r e v e j e
RÉVERBÈRE  r e v e^ r b e^ r
RÉVERBÉRATION  r e v e^ r b e r a s j o~
RÉVOLTAIENT  r e v o^ l t e^ t
RÉVOLTAIT  r e v o^ l t e^ t
RÉVOLTAIT  r e v o^ l t e^
RÉVOLTANT  r e v o^ l t a~
RÉVOLTANTE  r e v o^ l t a~ t
RÉVOLTE  r e v o^ l t
RÉVOLTE  r e v o^ l t q
RÉVOLTÉ  r e v o^ l t e
RÉVOLTÉE  r e v o^ l t e
RÉVOLTÉES  r e v o^ l t e
RÉVOLTÉS  r e v o^ l t e
RÉVOLUS  r e v o^ l y
RÉVOLUTION  r e v o^ l y s j o~
RÉVÉLAIENT  r e v e l e^
RÉVÉLAIENT  r e v e l e^ t
RÉVÉLAIS  r e v e l e^
RÉVÉLAIT  r e v e l e^ t
RÉVÉLATION  r e v e l a s j o~
RÉVÉLATIONS  r e v e l a s j o~
RÉVÉLATIONS  r e v e l a s j o~ z
RÉVÉLER  r e v e l e
RÉVÉLÉ  r e v e l e
RÉVÉLÉS  r e v e l e
RÉVÉRENCE  r e v e r a~ s
RÉVÉRENCIEUSE  r e v e r a~ s j x z
RÊNES  r e^ n
RÊVA  r e^ v a
RÊVAIT  r e^ v e^
RÊVAIT  r e^ v e^ t
RÊVANT  r e^ v a~
RÊVANT  r e^ v a~ t
RÊVE  r e^ v
RÊVE  r e^ v q
RÊVER  r e v e
RÊVERIE  r e^ v r i
RÊVERIE  r e^ v x^ r i
RÊVES  r e^ v
RÊVES  r e^ v x^ z
RÊVES  r e^ v q
RÊVES-LÀ  r e^ v l a
RÊVEUSE  r e^ v x z
RÊVEZ  r e v e
RÊVÉ  r e v e
RÊVÉE  r e v e
RÔDEUR  r o d x^ r
RÔLE  r o l
RÔLE  r o l q
RÔTI  r o t i
RÔTISSENT  r o t i s
S'ABAISSANT  s a b e^ s a~
S'ABAISSANT  s a b e^ s a~ t
S'ABATTAIENT  s a b a t e^
S'ABATTENT  s a b a t
S'ABATTIRENT  s a b a t i r
S'ABATTIT  s a b a t i t
S'ABONNA  s a b o^ n a
S'ABOUCHÈRENT  s a b u s^ e^ r t
S'ABRITANT  s a b r i t a~
S'ABSOLVENT  s a p s o^ l v q
S'ABÎME  s a b i m
S'ACCOMPAGNANT  s a k o~ p a n j a~
S'ACCOMPLIR  s a k o~ p l i r
S'ACCORDAIT  s a k o^ r d e^ t
S'ACCORDE  s a k o^ r d
S'ACCOUDA  s a k u d a
S'ACCOUDAIT  s a k u d e^
S'ACCOUDANT  s a k u d a~
S'ACCOUDER  s a k u d e
S'ACCROCHANT  s a k r o^ s^ a~ t
S'ACCROCHERAIT  s a k r o^ s^ x^ r e^ t
S'ACCUSAIENT  s a k y z e^
S'ACHARNE  s a s^ a r n
S'ACHETA  s a s^ x^ t a
S'ADONNAIENT  s a d o^ n e^ t
S'ADONNENT  s a d o^ n t
S'ADOSSAIT  s a d o s e^ t
S'ADRESSA  s a d r e^ s a
S'ADRESSAIT  s a d r e^ s e^ t
S'ADRESSANT  s a d r e^ s a~ t
S'ADRESSANT  s a d r e^ s a~
S'ADRESSE  s a d r e^ s
S'ADRESSENT  s a d r e^ s
S'ADRESSER  s a d r e s e r
S'AFFAIBLIR  s a f e b l i r
S'AFFAIBLIRENT  s a f e b l i r
S'AFFAIBLIT  s a f e b l i t
S'AFFAISSAIT  s a f e^ s e^
S'AFFAISSENT  s a f e^ s
S'AFFECTA  s a f e^ k t a
S'AGENOUILLAIT  s a z^ x^ n u j e^
S'AGENOUILLE  s a z^ x^ n u j
S'AGENOUILLER  s a z^ x^ n u j e
S'AGIRA  s a z^ i r a
S'AGIRAIT  s a z^ i r e^
S'AGISSAIT  s a z^ i s e^
S'AGISSE  s a z^ i s
S'AGIT  s a z^ i
S'AGIT-IL  s a z^ i t i l
S'AGITA  s a z^ i t a
S'AGITAIENT  s a z^ i t e^
S'AGITAIT  s a z^ i t e^ t
S'AGITENT  s a z^ i t
S'AGRANDIRENT  s a g r a~ d i r
S'AGRANDIT  s a g r a~ d i
S'AGÎT  s a z^ i
S'AIGRIT  s e g r i
S'ALIGNAIENT  s a l i n j e^
S'ALLA  s a l a
S'ALLAIENT  s a l e^
S'ALLAIT  s a l e^
S'ALLIAIENT  s a l j e^ t
S'ALLIER  s a l j e
S'ALLONGEA  s a l o~ z^ a
S'ALLÈRENT  s a l e^ r
S'ALTERNAIENT  s a l t e^ r n e^
S'ALTÉRA  s a l t e r a
S'AMOINDRIT  s a m w e~ d r i
S'AMOLLIRA  s a m o^ l i r a
S'AMORTISSAIT  s a m o^ r t i s e^
S'AMUSAIT  s a m y z e^ t
S'AMUSAIT  s a m y z e^
S'AMUSANT  s a m y z a~ t
S'AMUSE  s a m y z q
S'AMUSER  s a m y z e
S'AMÉLIORAIT  s a m e l j o^ r e^
S'ANIMA  s a n i m a
S'ANIMAIENT  s a n i m e^ t
S'ANIMANT  s a n i m a~
S'ANIME  s a n i m q
S'ANNONÇA  s a n o~ s a
S'APERCEVAIT  s a p e^ r s x^ v e^
S'APERCEVANT  s a p e^ r s x^ v a~
S'APERCEVOIR  s a p e^ r s x^ v w a r
S'APERÇOIT  s a p e^ r s w a
S'APERÇOIVE  s a p e^ r s w a v
S'APERÇURENT  s a p e^ r s y r t
S'APERÇUT  s a p e^ r s y
S'APLATISSAIENT  s a p l a t i s e^
S'APOSTROPHANT  s a p o^ s t r o^ f a~
S'APPELAIENT  s a p x^ l e^
S'APPELAIT  s a p x^ l e^
S'APPELER  s a p l e
S'APPELLE  s a p e^ l q
S'APPELLE  s a p e^ l
S'APPELLE-T-IL  s a p e^ l t i l
S'APPELLENT  s a p e^ l
S'APPELLENT  s a p e^ l q
S'APPELLENT  s a p e^ l t
S'APPELLERAIT-IL  s a p e l x^ r e^ t i l
S'APPESANTISSE  s a p x^ z a~ t i s
S'APPROCHA  s a p r o^ s^ a
S'APPROCHANT  s a p r o^ s^ a~
S'APPROCHER  s a p r o^ s^ e
S'APPROCHÈRENT  s a p r o^ s^ e^ r
S'APPROPRIER  s a p r o^ p r i j e r
S'APPROPRIER  s a p r o^ p r i j e
S'APPRÊTER  s a p r e t e
S'APPUIE  s a p h i
S'APPUYA  s a p h i j a
S'APPUYAIT  s a p h i j e^
S'APPUYANT  s a p h i j a~
S'APPUYER  s a p h i j e r
S'APPUYER  s a p h i j e
S'ARC-BOUTANT  s a r k b u t a~
S'ARMANT  s a r m a~
S'ARRACHER  s a r a s^ e
S'ARRANGER  s a r a~ z^ e
S'ARRANGER  s a r a~ z^ e r
S'ARRONDIRENT  s a r o~ d i r
S'ARRONDISSAIENT  s a r o~ d i s e^ t
S'ARRÊTA  s a r e^ t a
S'ARRÊTAIT  s a r e^ t e^
S'ARRÊTAIT  s a r e^ t e^ t
S'ARRÊTANT  s a r e^ t a~
S'ARRÊTANT  s a r e^ t a~ t
S'ARRÊTE  s a r e^ t
S'ARRÊTER  s a r e t e
S'ARRÊTERA  s a r e^ t x^ r a
S'ARRÊTÈRENT  s a r e^ t e^ r t
S'ARRÊTÈRENT  s a r e^ t e^ r
S'ASSEOIR  s a s w a r
S'ASSEYANT  s a s e j a~
S'ASSIRENT  s a s i r
S'ASSIRENT  s a s i r t
S'ASSIT  s a s i
S'ASSIT  s a s i t
S'ASSOUPISSANT  s a s u p i s a~
S'ASSOUVIR  s a s u v i r
S'ASSURA  s a s y r a
S'ASSURER  s a s y r e
S'ASSURERA  s a s y r x^ r a
S'ATTABLAIENT  s a t a b l e^
S'ATTACHAIENT  s a t a s^ e^ t
S'ATTACHAIT  s a t a s^ e^ t
S'ATTACHAIT  s a t a s^ e^
S'ATTACHENT  s a t a s^ t
S'ATTACHER  s a t a s^ e r
S'ATTAQUAIENT  s a t a k e^ t
S'ATTARDAIENT  s a t a r d e^ t
S'ATTEND  s a t a~ t
S'ATTEND  s a t a~
S'ATTENDAIT  s a t a~ d e^
S'ATTENDAIT  s a t a~ d e^ t
S'ATTENDRISSAIT  s a t a~ d r i s e^
S'AUGMENTER  s o g m a~ t e
S'AVALE  s a v a l
S'AVANCE  s a v a~ s
S'AVANÇA  s a v a~ s a
S'AVANÇAIENT  s a v a~ s e^ t
S'AVANÇAIT  s a v a~ s e^
S'AVANÇANT  s a v a~ s a~
S'AVENTURA  s a v a~ t y r a
S'AVENTURENT  s a v a~ t y r t
S'AVOUAIT  s a v w e^ t
S'EFFACE  s e f a s
S'EFFACENT  s e f a s
S'EFFILOQUAIENT  s e f i l o^ k e^
S'EMBARQUA  s a~ b a r k a
S'EMBARQUER  s a~ b a r k e
S'EMBARRASSAIT  s a~ b a r a s e^
S'EMBARRASSE  s a~ b a r a s
S'EMBUSQUER  s a~ b y s k e r
S'EMPARER  s a~ p a r e
S'EMPOISONNAIT  s a~ p w a z o^ n e^
S'EMPORTA  s a~ p o^ r t a
S'EMPORTERAIT  s a~ p o^ r t x^ r e^
S'EMPRESSA  s a~ p r e^ s a
S'EMPÊCHER  s a~ p e s^ e
S'EN  s a~ n
S'EN  s a~
S'ENCHAÎNENT  s a~ s^ e n
S'ENCHÂSSER  s a~ s^ a s e
S'ENDORMAIT  s a~ d o^ r m e^
S'ENDORMIT  s a~ d o^ r m i
S'ENFERMA  s a~ f e^ r m a
S'ENFERME  s a~ f e^ r m
S'ENFERMER  s a~ f e^ r m e r
S'ENFERMER  s a~ f e^ r m e
S'ENFLAMMA  s a~ f l a m a
S'ENFLENT  s a~ f l q
S'ENFONÇA  s a~ f o~ s a
S'ENFONÇAIT  s a~ f o~ s e^
S'ENFONÇANT  s a~ f o~ s a~
S'ENGAGEA  s a~ g a z^ a
S'ENGAGENT  s a~ g a z^
S'ENGOUE  s a~ g u
S'ENGOUFFRAIT  s a~ g u f r e^
S'ENJOLIVAIT  s a~ z^ o^ l i v e^
S'ENNUYER  s a~ n h i j e
S'ENNUYER  s a~ n h i j e r
S'ENQUÉRIR  s a~ k e r i r
S'ENRACINÈRENT  s a~ r a s i n e^ r
S'ENRICHIR  s a~ r i s^ i r
S'ENROULAIENT  s a~ r u l e^
S'ENTEND  s a~ t a~
S'ENTENDAIT  s a~ t a~ d e^
S'ENTENDAIT  s a~ t a~ d e^ t
S'ENTENDRE  s a~ t a~ d r x^
S'ENTENDRE  s a~ t a~ d r q
S'ENTENDRE  s a~ t a~ d r
S'ENTHOUSIASMA  s a~ t u z j a s m a
S'ENTRAIDENT  s a~ t r e^ d q
S'ENTRAIDER  s a~ t r e d e
S'ENTRE-REGARDÈRENT  s a~ t r x^ r x^ g a r d e^ r
S'ENTRECROISANT  s a~ t r x^ k r w a z a~
S'ENTREMÊLAIENT  s a~ t r x^ m e^ l e^
S'ENTRETENAIT  s a~ t r x^ t x^ n e^ t
S'ENTRETENIR  s a~ t r x^ t x^ n i r
S'ENVELOPPER  s a~ v x^ l o^ p e
S'ENVOLAIENT  s a~ v o^ l e^
S'ENVOLER  s a~ v o^ l e
S'ENVOLÈRENT  s a~ v o^ l e^ r
S'ESCALADENT  s e^ s k a l a d q
S'ESSAYAIT  s e s e^ j e^ t
S'ESSUYAIENT  s e s h i j e^
S'ESSUYAIT  s e s h i j e^ t
S'ESSUYANT  s e s h i j a~
S'ESSUYER  s e s h i j e
S'EST  s e^
S'EST  s e^ t
S'EST-ELLE  s e^ t e^ l
S'ESTIMAIT  s e^ s t i m e^ t
S'ESTIMAIT  s e^ s t i m e^
S'ESTIMER  s e^ s t i m e
S'EXCITAIENT  s e^ k s i t e^
S'EXCITANT  s e^ k s i t a~
S'EXCLAMA  s e^ k s k l a m a
S'EXCUSA  s e^ k s k y z a
S'EXERCE  s e^ g z e^ r s q
S'EXERCE  s e^ g z e^ r s
S'EXHALAIT  s e^ g z a l e^ t
S'EXPATRIER  s e^ k s p a t r i j e
S'EXPIE  s e^ k s p i
S'EXPLIQUA  s e^ k s p l i k a
S'EXPLIQUE  s e^ k s p l i k
S'EXPLIQUER  s e^ k s p l i k e
S'EXPOSER  s e^ k s p o z e r
S'EXPRIMA  s e^ k s p r i m a
S'EXPRIMAIENT  s e^ k s p r i m e^ t
S'EXPRIMAIT  s e^ k s p r i m e^ t
S'EXPRIMER  s e^ k s p r i m e
S'EXTASIER  s e^ k s t a z j e r
S'EXÉCUTER  s e^ g z e k y t e
S'HABILLAIT  s a b i j e^ t
S'HABILLE  s a b i j
S'HABILLER  s a b i j e
S'HABITUAIT  s a b i t y e^ t
S'HARMONISAIT  s a r m o^ n i z e^ t
S'HUMILIER  s y m i l j e
S'IL  s i l
S'ILLUMINER  s i l y m i n e
S'ILS  s i l z
S'ILS  s i l
S'ILS  s i l q z
S'IMPATIENTA  s e~ p a s j a~ t a
S'IMPATIENTE  s e~ p a s j a~ t q
S'IMPOSAIT  s e~ p o z e^
S'INCLINA  s e~ k l i n a
S'INCLINANT  s e~ k l i n a~ t
S'INCLINER  s e~ k l i n e
S'INDIGNER  s e~ d i n j e
S'INDIGNERAIT  s e~ d i n j x^ r e^
S'INFORMAIT  s e~ f o^ r m e^
S'INFORME  s e~ f o^ r m
S'INFORMER  s e~ f o^ r m e
S'INJECTA  s e~ z^ e^ k t a
S'INJECTAIT  s e~ z^ e^ k t e^
S'INJECTE  s e~ z^ e^ k t
S'INJECTER  s e~ z^ e^ k t e
S'INQUIÈTENT-ILS  s e~ k j e^ t x^ t i l
S'INQUIÉTAIENT  s e~ k j e t e^
S'INSTALLAIT  s e~ s t a l e^
S'INSTALLÈRENT  s e~ s t a l e^ r
S'INTERROMPAIT  s e~ t e^ r o~ p e^
S'INTERROMPANT  s e~ t e^ r o~ p a~
S'INTERROMPANT  s e~ t e^ r o~ p a~ t
S'INTITULAIT  s e~ t i t y l e^
S'INTRODUIT  s e~ t r o^ d h i
S'INTÉRESSAIT  s e~ t e r e^ s e^
S'INTÉRESSANT  s e~ t e r e^ s a~ t
S'INTÉRESSE  s e~ t e r e^ s
S'INTÉRESSER  s e~ t e r e s e r
S'INTÉRESSER  s e~ t e r e s e
S'IRRITAIENT  s i r i t e^
S'OBSCURCIR  s o^ p s k y r s i r
S'OBSCURCISSAIENT  s o^ p s k y r s i s e^
S'OBSCURCIT  s o^ p s k y r s i
S'OBSERVA  s o^ p s e^ r v a
S'OBSERVER  s o^ p s e^ r v e
S'OBSTINAIT  s o^ p s t i n e^ t
S'OCCUPA  s o^ k y p a
S'OCCUPAIT  s o^ k y p e^ t
S'OCCUPANT  s o^ k y p a~
S'OCCUPE  s o^ k y p
S'OCCUPER  s o^ k y p e
S'OCCUPER  s o^ k y p e r
S'OCCUPERA  s o^ k y p x^ r a
S'OFFRAIT  s o^ f r e^
S'OFFRAIT  s o^ f r e^ t
S'OFFRIT  s o^ f r i
S'OPINIÂTRE  s o^ p i n j a t r
S'OPPOSER  s o^ p o z e r
S'OUVRAIENT  s u v r e^
S'OUVRAIT  s u v r e^
S'OUVRANT  s u v r a~
S'OUVRANT  s u v r a~ t
S'OUVRE  s u v r
S'OUVRE  s u v r x^
S'OUVRIT  s u v r i
S'UNIR  s y n i r
S'USERAIENT  s y z r e^ t
S'Y  s i
S'ÉBATTAIT  s e b a t e^
S'ÉBRANLER  s e b r a~ l e
S'ÉCAILLANT  s e k a j a~ t
S'ÉCARTANT  s e k a r t a~
S'ÉCARTÈRENT  s e k a r t e^ r
S'ÉCHAPPA  s e s^ a p a
S'ÉCHAPPAIENT  s e s^ a p e^
S'ÉCHAPPAIT  s e s^ a p e^
S'ÉCHAPPER  s e s^ a p e
S'ÉCLABOUSSER  s e k l a b u s e
S'ÉCLAIRAIT  s e k l e^ r e^ t
S'ÉCLAIRCIRENT  s e k l e^ r s i r
S'ÉCOULA  s e k u l a
S'ÉCRIA  s e k r i j a
S'ÉCRIA-T-ELLE  s e k r i j a t e^ l
S'ÉCRIA-T-ELLE  s e k r i j a t e^ l q
S'ÉCRIA-T-IL  s e k r i j a t i l
S'ÉCRIAIT  s e k r i j e^
S'ÉCRIANT  s e k r i j a~
S'ÉCRIE  s e k r i
S'ÉCRIE-T-IL  s e k r i t i l
S'ÉCRIER  s e k r i j e
S'ÉCRIÈRENT  s e k r j e^ r
S'ÉGARAIT  s e g a r e^
S'ÉGARE  s e g a r
S'ÉGARER  s e g a r e
S'ÉGRENAIENT  s e g r x^ n e^
S'ÉLANCENT  s e l a~ s
S'ÉLANCER  s e l a~ s e
S'ÉLANÇA  s e l a~ s a
S'ÉLEVAIENT  s e l x^ v e^
S'ÉLEVAIT  s e l v e^
S'ÉLEVANT  s e l x^ v a~ t
S'ÉLEVER  s e l x^ v e
S'ÉLOIGNA  s e l w a n j a
S'ÉLOIGNAIT  s e l w a n~ e^
S'ÉLOIGNANT  s e l w a n j a~
S'ÉLOIGNE  s e l w a n j q
S'ÉLOIGNENT  s e l w a n~ q
S'ÉLOIGNER  s e l w a n j e
S'ÉLOIGNÈRENT  s e l w a n j e^ r
S'ÉLÈVE  s e l e^ v
S'ÉLÈVENT  s e l e^ v
S'ÉMOUSSER  s e m u s e
S'ÉMOUVOIR  s e m u v w a r
S'ÉMUT  s e m y t
S'ÉPANOUISSENT  s e p a n w i s
S'ÉPARGNANT  s e p a r n j a~ t
S'ÉPRIT  s e p r i
S'ÉPUISA  s e p h i z a
S'ÉPUISÈRENT  s e p h i z e^ r t
S'ÉRAFLAIT  s e r a f l e^ t
S'ÉTABLIR  s e t a b l i r
S'ÉTABLIRENT  s e t a b l i r t
S'ÉTAGEAIENT  s e t a z^ e^
S'ÉTAGEAIENT  s e t a z^ e^ t
S'ÉTAIENT  s e t e^
S'ÉTAIENT  s e t e^ t
S'ÉTAIT  s e t e^
S'ÉTAIT  s e t e^ t
S'ÉTAIT-ELLE  s e t e^ t e^ l
S'ÉTALA  s e t a l a
S'ÉTALAIT  s e t a l e^
S'ÉTANT  s e t a~
S'ÉTANT  s e t a~ t
S'ÉTEIGNAIENT  s e t e n j e^
S'ÉTEIGNIT  s e t e^ n j i
S'ÉTEINDRE  s e t e~ d r
S'ÉTEND  s e t a~
S'ÉTENDAIENT  s e t a~ d e^ t
S'ÉTENDAIT  s e t a~ d e^
S'ÉTENDIT  s e t a~ d i
S'ÉTENDRE  s e t a~ d r
S'ÉTIOLE  s e t j o^ l
S'ÉTOILER  s e t w a l e
S'ÉTONNA  s e t o^ n a
S'ÉTONNAIT  s e t o^ n e^
S'ÉTONNER  s e t o^ n e r
S'ÉTONNERA-T-ON  s e t o^ n x^ r a t o~
S'ÉTOURDIR  s e t u r d i r
S'ÉTRANGLER  s e t r a~ g l e
S'ÉVADER  s e v a d e
S'ÉVANOUIRENT  s e v a n w i r
S'ÉVANOUISSAIT  s e v a n w i s e^
S'ÉVANOUISSANT  s e v a n w i s a~
S'ÉVANOUIT  s e v a n w i
S'ÉVEILLA  s e v e^ j a
S'ÉVEILLAIENT  s e v e^ j e^ t
S'ÉVEILLAIT  s e v e^ j e^
S'ÉVEILLANT  s e v e^ j a~
S'ÉVEILLE  s e v e^ j
S'ÉVEILLENT  s e v e^ j q
S'ÊTRE  s e^ t r q
S'ÊTRE  s e^ t r x^
S'ÊTRE  s e^ t r
SA  s a
SABLAIT  s a b l e^
SABLE  s a b l q
SABLE  s a b l
SABLÉ  s a b l e
SABLÉE  s a b l e
SABORDS  s a b o^ r
SABOT  s a b o^
SABOTS  s a b o^
SABOTS  s a b o^ z
SABRE  s a b r q
SABRES  s a b r q
SABRES  s a b r
SAC  s a k
SACCADÉ  s a k a d e
SACCADÉE  s a k a d e
SACCAGÉE  s a k a z^ e
SACERDOCE  s a s e^ r d o^ s
SACHANT  s a s^ a~
SACHE  s a s^
SACHEZ  s a s^ e
SACHIEZ  s a s^ j e
SACOCHES  s a k o^ s^
SACRAMENTELS  s a k r a m a~ t e^ l
SACREBLEU  s a k r x^ b l x
SACREMENT  s a k r x^ m a~
SACRER  s a k r e
SACRIFIAIT  s a k r i f j e^ t
SACRIFICES  s a k r i f i s
SACRIFIE  s a k r i f i
SACRIFIER  s a k r i f j e r
SACRIFIER  s a k r i f j e
SACRIFIÉ  s a k r i f j e
SACRILÈGE  s a k r i l e^ z^
SACRILÈGE  s a k r i l e^ z^ q
SACRISTIE  s a k r i s t i
SACRÉ  s a k r e
SACRÉ-COEUR  s a k r e k x^ r
SACRÉE  s a k r e
SACRÉS  s a k r e
SACS  s a k q
SACS  s a k
SAFRAN  s a f r a~
SAGACE  s a g a s
SAGACITÉ  s a g a s i t e
SAGE  s a z^
SAGE  s a z^ q
SAGEMENT  s a z^ m a~ t
SAGEMENT  s a z^ x^ m a~
SAGES  s a z^
SAGES  s a z^ q
SAGESSE  s a z^ e^ s
SAIGNAIT  s e^ n j e^
SAIGNANT  s e^ n j a~
SAIGNANTES  s e^ n j a~ t q
SAIGNANTES  s e^ n j a~ t
SAIGNANTS  s e^ n j a~ z
SAIGNANTS  s e^ n j a~
SAIGNE  s e^ n~ q
SAIGNEMENT  s e^ n~ x^ m a~
SAIGNER  s e n j e
SAIGNÉES  s e n j e
SAILLANT  s a j a~
SAILLANTES  s a j a~ t
SAILLANTS  s a j a~
SAIN  s e~
SAINE  s e^ n
SAINE  s e^ n q
SAINT  s e~
SAINT  s e~ t
SAINT-ANDRÉ  s e~ t a~ d r e
SAINT-CHRISTOPHE  s e~ k r i s t o^ f
SAINT-CLOUD  s e~ k l u
SAINT-DENIS  s e~ d x^ n i
SAINT-DOMINIQUE  s e~ d o^ m i n i k
SAINT-ESPRIT  s e~ t e^ s p r i
SAINT-GERMAIN  s e~ z^ e^ r m e~
SAINT-GERMAIN-EN-LAYE  s e~ z^ e^ r m e~ a~ l e^
SAINT-GERVAIS  s e~ z^ e^ r v e^
SAINT-JEAN  s e~ z^ a~
SAINT-LOUIS  s e~ l w i
SAINT-MALO  s e~ m a l o
SAINT-MANDÉ  s e~ m a~ d e
SAINT-MARTIN  s e~ m a r t e~
SAINT-NICOLAS  s e~ n i k o^ l a
SAINT-OUEN  s e~ t w e~
SAINT-PAUL  s e~ p o^ l
SAINT-PAUL  s e~ p o^ l q
SAINT-PIERRE  s e~ p j e^ r
SAINT-PÈRE  s e~ p e^ r
SAINT-REMY  s e~ r e m i
SAINT-REMY  s e~ r x^ m i
SAINT-SIMON  s e~ s i m o~
SAINT-THOMAS  s e~ t o^ m a
SAINT-THOMAS-D'AQUIN  s e~ t o^ m a d a k e~
SAINT-VICTOR  s e~ v i k t o^ r
SAINT-ÉLOI  s e~ t e l w a
SAINTE  s e~ t
SAINTE  s e~ t q
SAINTE-AVOYE  s e~ t a v w a
SAINTE-NITOUCHE  s e~ t n i t u s^
SAINTES  s e~ t
SAINTETÉ  s e~ t x^ t e
SAINTS  s e~
SAINTS  s e~ z
SAIS  s e^
SAIS  s e^ z
SAIS  s e
SAIS-TU  s e^ t y
SAISI  s e z i
SAISIE  s e z i
SAISIR  s e z i r
SAISIRAIT  s e^ z i r e^
SAISIRENT  s e^ z i r
SAISIS  s e^ z i
SAISISSAIT  s e z i s e^
SAISISSANT  s e z i s a~
SAISISSANT  s e z i s a~ t
SAISISSEMENT  s e z i s m a~
SAISIT  s e^ z i
SAISIT  s e^ z i t
SAISON  s e^ z o~
SAIT  s e^
SALADE  s a l a d q
SALADES  s a l a d
SALAIRE  s a l e^ r
SALE  s a l
SALE  s a l q
SALIR  s a l i r
SALIRAIS  s a l i r e^
SALISSAIENT  s a l i s e^ t
SALLE  s a l
SALLE  s a l q
SALLES  s a l q
SALLES  s a l
SALON  s a l o~
SALONS  s a l o~
SALONS  s a l o~ z
SALPÊTRÉ  s a l p e t r e
SALPÊTRÉES  s a l p e t r e
SALUA  s a l y a
SALUAIT  s a l y e^
SALUANT  s a l y a~
SALUBRE  s a l y b r
SALUE  s a l y
SALUT  s a l y
SALUTAIRE  s a l y t e^ r
SALUTAIRES  s a l y t e^ r
SALUTATIONS  s a l y t a s j o~
SALUÈRENT  s a l y e^ r t
SALUÉ  s a l y e
SALÉ  s a l e
SALÉE  s a l e
SALÉES  s a l e
SAMPANS  s a~ p a~
SAN  s a~
SANCTORUM  s a~ k t o r o^ m
SANCTUAIRES  s a~ k t y e^ r
SANCTUS  s a~ k t y s
SAND  s a~ d q
SANDALES  s a~ d a l
SANG  s a~
SANG-FROID  s a~ f r w a
SANGLANT  s a~ g l a~
SANGLANTE  s a~ g l a~ t
SANGLANTS  s a~ g l a~
SANGLIER  s a~ g l i j e
SANGLIERS  s a~ g l i j e
SANGLOTAIS  s a~ g l o^ t e^
SANGLOTAIT  s a~ g l o^ t e^
SANGLOTER  s a~ g l o^ t e r
SANGLOTER  s a~ g l o^ t e
SANGLOTS  s a~ g l o
SANGLOTS  s a~ g l o z
SANGLÉ  s a~ g l e
SANGLÉE  s a~ g l e
SANGUINAIRE  s a~ g i n e^ r
SANGUINAIRES  s a~ g i n e^ r
SANS  s a~
SANS  s a~ z
SANS-COEUR  s a~ k x^ r
SANS-MIRETTES  s a~ m i r e^ t q
SANS-MOEURS  s a~ m x^ r
SANTÉ  s a~ t e
SAPERLOTTE  s a p e^ r l o^ t
SAPHIR  s a f i r
SAPÈQUES  s a p e^ k
SARAH  s a r a
SARCASME  s a r k a s m q
SARCASME  s a r k a s m
SARCASMES  s a r k a s m
SARCELLES  s a r s e^ l q
SARDANAPALE  s a r d a n a p a l
SARDONIQUE  s a r d o^ n i k
SARMENTEUSES  s a r m a~ t x z
SATAN  s a t a~
SATIN  s a t e~
SATINÉ  s a t i n e
SATINÉE  s a t i n e
SATINÉES  s a t i n e
SATISFACTION  s a t i s f a k s j o~
SATISFAIRE  s a t i s f e^ r
SATISFAISAIS  s a t i s f x^ z e^
SATISFAISANT  s a t i s f x^ z a~
SATISFAISANTE  s a t i s f x^ z a~ t
SATISFAISANTES  s a t i s f x^ z a~ t
SATISFAISANTS  s a t i s f x^ z a~
SATISFAIT  s a t i s f e^
SATISFAITE  s a t i s f e^ t
SATISFAITE  s a t i s f e^ t q
SATISFAITS  s a t i s f e^
SATISFERAIENT  s a t i s f x^ r e^ t
SATISFERAIT  s a t i s f x^ r e^
SATISFIT  s a t i s f i
SAUCE  s o s
SAUCE  s o s q
SAUF  s o f
SAUGE  s o z^
SAUGRENUE  s o g r x^ n y
SAUMURE  s o m y r
SAURA  s o^ r a
SAURAI  s o^ r e
SAURAIENT  s o^ r e^
SAURAIS  s o^ r e^
SAURAIS-TU  s o^ r e^ t y
SAURAIT  s o^ r e^
SAURAS  s o^ r a
SAURAS-TU  s o^ r a t y
SAUREZ  s o^ r e
SAURIONS  s o^ r j o~
SAURIONS-NOUS  s o^ r j o~ n u
SAUT  s o
